Risk ID,Domain,Scenario,Why Singapore-Specific,Primary Stakeholders,Existing Policy/Control Anchors,Likelihood,Impact,Priority,Potential Harms,Early Warning Indicators,Recommended Controls,Residual Risk / Open Question
EAI-SG-001,Public precinct robotics,"Delivery robot collides with pedestrian, wheelchair user, child, PMA rider or cyclist in PDD during peak foot traffic","Dense mixed-use precincts, covered walkways, commuting peaks and active mobility create close human-robot interaction",IMDA; JTC; SIT; LTA; PDD operator; robot vendor; insurer,"PDD testbed; LTA public path exemptions; ISO robot safety; IMDA agentic AI framework",Medium,High,Critical,"Injury, loss of public trust, suspension of trials, liability dispute","High near-miss rate; frequent emergency stops; crowding near lifts/ramps; complaints from vulnerable users","Define operating design domain, speed/proximity limits, pedestrian priority rules, accessibility testing, near-miss reporting, independent safety validation, public incident playbook","What threshold of near-misses triggers pause or rollback?"
EAI-SG-002,Public precinct robotics,"Robot becomes immobilised and blocks lift lobby, MRT link, covered walkway, hospital corridor or emergency access route","Singapore has space-constrained public infrastructure where obstruction can cascade quickly",JTC; LTA; BCA; SCDF; facility manager; robot operator,"PDD testbed; fire safety and building access requirements; LTA path rules",High,Medium,High,"Congestion, accessibility failure, emergency response delay, public complaints","Repeated stuck events; manual recovery delays; robots waiting at lifts; path bottlenecks","Maximum obstruction time, automatic pull-over behavior, remote recovery SLA, safe parking zones, lift priority rules, emergency override by facility/security staff","Who has authority to move or disable third-party robots?"
EAI-SG-003,Multi-operator coordination,"Two or more vendors' robots deadlock at lift, narrow path, charging point or loading bay","PDD explicitly targets multi-operator robots in a mixed-use area",IMDA; JTC; SIT; NRP; vendors; facility manager,"PDD testbed; interoperability standards; agentic AI governance",Medium,Medium,High,"Service disruption, obstruction, unsafe maneuvers, accountability dispute","Robots repeatedly yielding to each other; charger queues; lift call conflicts; manual interventions","Shared right-of-way protocol, common map layer, arbitration service, fleet-to-infrastructure API rules, priority classes for emergency/service robots","Should Singapore define a standard robot traffic protocol for public precincts?"
EAI-SG-004,Cybersecurity,"Attacker compromises fleet dashboard and issues unsafe route, speed, access or shutdown commands","Robot fleet dashboards may control physical systems across public spaces",CSA; IMDA; JTC; GovTech; operator; vendor,"CSA AI security guidance; CSA cybersecurity standards; IMDA agentic AI framework",Medium,Very High,Critical,"Physical harm, service disruption, unauthorized access, national trust damage","Unusual routes; commands outside normal hours; login anomalies; unexplained configuration changes","MFA, privileged access management, command signing, least privilege, anomaly detection, network segmentation, emergency stop independent of cloud, tabletop exercises","How quickly can physical operations be isolated from a compromised cloud service?"
EAI-SG-005,Cybersecurity,"Adversarial signage, QR code, sticker or projected image causes robot perception or instruction-following failure","Singapore robots will operate in signage-rich public areas with multilingual text and QR interactions",CSA; IMDA; LTA; JTC; vendor,"CSA AI security guidance; agentic AI framework; red-team testing",Medium,High,High,"Unsafe routing, privacy leakage, malicious command execution, public manipulation","Robots reacting to unofficial signs; route anomalies near advertisements; QR-triggered workflows","Environmental prompt-injection tests, sign authenticity checks, perception robustness tests, QR allowlists, natural-language command constraints","What environmental content should robots be allowed to treat as instructions?"
EAI-SG-006,Privacy,"Public-space robot collects excessive video, audio, faces, location trails or interaction logs","High-density public spaces make incidental personal data collection unavoidable",PDPC; IMDA; JTC; GovTech; agency deployer; operator,"PDPA; PDPC AI governance; IMDA governance frameworks",High,High,Critical,"Surveillance concerns, data breach, chilling effects, regulatory breach","Unclear notices; long retention; broad staff access; unclear data processors; public complaints","Data minimisation, edge processing, masking, retention limits, access logs, privacy impact assessment, visible robot ID and contact channel","When is public notice sufficient for mobile sensing systems?"
EAI-SG-007,Agentic autonomy,"Robot or EAI agent takes unauthorized physical-world action via lift, door, charger, dispatch, payment or access-control API","Singapore's smart precincts create many physical-digital integration points",IMDA; CSA; GovTech; JTC; facility manager; vendor,"IMDA agentic AI framework; CSA AI security guidance",Medium,High,Critical,"Unauthorized access, safety breach, service disruption, privacy incident","Tool calls outside approved task; privilege creep; unreviewed API integrations; unexplained access events","Tool allowlists, least privilege, step-up human approval, geofenced permissions, action audit logs, policy enforcement layer","Who is accountable: deployer, vendor, API owner or model provider?"
EAI-SG-008,Human oversight,"One remote operator supervises too many robots and misses critical alert or delayed override","Manpower-saving deployments may create pressure for high robot-to-supervisor ratios",MOM; IMDA; JTC; LTA; operator; unions,"Workplace safety principles; agentic AI framework; sector trial requirements",Medium,High,High,"Delayed intervention, injury, worker stress, false assurance of human-in-the-loop","Alert backlog; long response time; high manual intervention load; operator fatigue","Set maximum robot-to-operator ratios by risk class, alert prioritisation, simulation training, override latency tests, human factors review","What counts as meaningful human oversight for low-speed public robots?"
EAI-SG-009,Autonomous vehicles,"Autonomous shuttle fails under edge case involving cyclist, PMA, bus stop crowd, rain or roadworks","Singapore AV trials are expanding in estates and transport nodes from 2026",MOT; LTA; operators; AV vendors; CETRAN; insurers,"MOT AV consultation; LTA AV trials; TR 68; CETRAN assessment",Medium,Very High,Critical,"Injury or fatality, trial suspension, legal reform pressure, public backlash","Disengagement spikes; harsh braking; close passes; roadwork route issues; passenger complaints","Scenario-based testing, deployment readiness assessment, speed/route limits, safety driver/remote operator rules, public incident transparency","How will AV safety metrics be made comparable across vendors?"
EAI-SG-010,Drones / unmanned aircraft,"AI-enabled drone enters restricted airspace, loses link or crashes in dense urban area","Singapore has busy airspace, protected areas and dense urban environments",CAAS; MOT; SPF; SCDF; operator; vendor,"CAAS unmanned aircraft rules; aviation safety regulation",Low,Very High,High,"Aircraft hazard, public injury, security incident, property damage","Geofence breach; lost-link events; near-airport operations; poor battery health","Geofencing, remote ID, detect-and-avoid, lost-link fail-safe, permit controls, flight logging, operator training","How should autonomous drone swarms be treated under current UA rules?"
